,narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
6318,P02_06_187,P02,P02_06,00:08:43.919,00:08:44.34,00:08:45.11,31460,31506,put lettuce on chopping board,put-on,1,lettuce,120,"['lettuce', 'board:chopping']","[120, 18]"
34468,P15_02_18,P15,P15_02,00:01:43.100,00:01:42.09,00:01:43.59,6125,6215,open drawer,open,3,drawer,8,['drawer'],[8]
3153,P01_106_232,P01,P01_106,00:11:25.850,00:11:25.43,00:11:26.21,34271,34310,pick up cloth,pick-up,0,cloth,17,['cloth'],[17]
23820,P05_08_119,P05,P05_08,00:19:04.000,00:19:04.42,00:19:07.84,68665,68870,rinse pan,rinse,2,pan,5,['pan'],[5]
2074,P01_103_55,P01,P01_103,00:01:31.600,00:01:31.36,00:01:32.71,4568,4635,open cereal box,open,3,box:cereal,23,['box:cereal'],[23]
57111,P28_109_54,P28,P28_109,00:03:23.907,00:03:23.68,00:03:27.34,10184,10367,wipe counter,wipe,2,counter,42,['counter'],[42]
30172,P10_02_116,P10,P10_02,00:16:03.600,00:15:58.93,00:16:33.69,57535,59621,get some cooked food into the glass bowl,get-into,1,food:cooked,34,"['food:cooked', 'bowl:glass']","[34, 7]"
63573,P31_08_12,P31,P31_08,00:01:24.250,00:01:25.41,00:01:26.89,5124,5213,open oven,open,3,oven,46,['oven'],[46]
52065,P26_116_57,P26,P26_116,00:02:28.601,00:02:26.00,00:02:36.53,7300,7826,pick up towel,pick-up,0,towel,52,['towel'],[52]
1251,P01_09_310,P01,P01_09,00:23:00.250,00:23:00.10,00:23:03.54,82806,83012,put down plate,put-down,1,plate,2,['plate'],[2]
8929,P02_112_49,P02,P02_112,00:02:18.907,00:02:16.00,00:02:19.12,6800,6956,open spice jar,open,3,jar:spice,40,['jar:spice'],[40]
